(servers,and,established),,,
Local,Address,Address,Foreign,,
192.168.1.143,40407,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,43910,205.251.253.53,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46014,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54605,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40805,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40406,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,48118,54.240.190.235,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,40409,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,47505,54.240.190.110,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,34742,54.240.190.29,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,33624,204.246.169.147,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,48310,54.240.190.245,80,2230/gvfsd-http,ESTABLISHED
192.168.1.105,22222,192.168.1.147,53913,-,ESTABLISHED
192.168.1.105,48940,192.168.1.100,8123,21126/chrome,ESTABLISHED
192.168.1.143,58156,54.240.190.96,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,41719,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40411,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54589,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.105,35575,91.189.94.25,80,6821/ubuntu-geoip-p,CLOSE_WAIT
192.168.1.143,58146,54.240.190.96,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,40392,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,56941,54.240.190.178,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,57940,54.240.190.69,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,44156,199.27.74.129,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,58151,54.240.190.96,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,54109,199.27.74.192,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,43567,199.27.74.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54593,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,37825,199.27.73.192,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40860,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.105,37981,157.55.130.147,40032,19930/skype,ESTABLISHED
192.168.1.143,40804,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46519,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,41714,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,43390,54.240.190.145,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,54546,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54544,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46018,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,41715,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46015,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54095,199.27.74.192,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40408,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54366,54.240.190.126,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,51404,205.251.253.101,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54610,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46013,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.105,51483,134.170.18.106,443,19930/skype,ESTABLISHED
192.168.1.143,43907,205.251.253.53,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,45949,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46016,199.27.73.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40416,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.105,50441,74.125.142.125,443,21126/chrome,ESTABLISHED
192.168.1.143,44129,199.27.74.129,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,54549,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,50989,204.246.169.225,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,54591,205.251.253.185,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,44125,204.246.169.12,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,40388,205.251.253.233,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,46678,205.251.253.105,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.143,40859,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
192.168.1.105,35210,91.190.216.52,12350,19930/skype,ESTABLISHED
192.168.1.143,41470,54.240.190.47,80,2230/gvfsd-http,ESTABLISHED
192.168.1.143,41718,91.189.89.31,80,2230/gvfsd-http,CLOSE_WAIT
